Subdomain,IP,Cloudflare
marketing.tesla.com,13.111.47.196,false
media-server-api.eng.vn.cloud.tesla.com,66.17.12.55,false
media-server-api.prd.vn.cloud.tesla.com,66.17.12.56,false
media-server-dev-api.eng.vn.cloud.tesla.com,66.17.10.55,false
media-server-qr-dev.eng.america.vn.cloud.tesla.com,66.17.10.55,false
media-server-qr.eng.america.vn.cloud.tesla.com,66.17.10.55,false
media-server-qr.prd.america.vn.cloud.tesla.com,66.17.10.56,false
meet.tesla.com,209.133.79.61,false
mfa-reset.tesla.com,23.52.180.57,false
mfa-stage.tesla.com,104.75.4.68,false
mfa.tesla.com,23.52.180.57,false
mfamobile-dev.tesla.com,205.234.27.209,false
mfauser-dev.tesla.com,205.234.27.209,false
mfs-reno.tesla.com,23.52.180.57,false
mfs-supplier-uat.tesla.com,23.52.180.57,false
mfs-supplier.tesla.com,23.52.180.57,false
mfs-synergy.tesla.com,23.52.180.57,false
mobile-links-cdn.eng.vn.cloud.tesla.com,3.167.227.27,false
mobile-links-cdn.prd.vn.cloud.tesla.com,13.226.244.10,false
mobile-links.eng.vn.cloud.tesla.com,66.17.12.21,false
mobile-links.prd.vn.cloud.tesla.com,66.17.10.65,false
mobile-ops-links.prd.vn.cloud.tesla.com,66.17.10.65,false
mobile.tesla.com,23.52.180.57,false
model3.tesla.com,205.234.27.221,false
mrsproxy06.tesla.com,209.11.133.58,false
mta.email.tesla.com,13.111.14.190,false
mta.emails.tesla.com,13.111.62.118,false
mta2.email.tesla.com,13.111.4.231,false
mta2.emails.tesla.com,13.111.88.1,false
mta3.emails.tesla.com,13.111.88.2,false
mta4.emails.tesla.com,13.111.88.52,false
mta5.emails.tesla.com,13.111.88.53,false
myapps.tesla.com,23.52.180.57,false
o1.ptr2410.link.tesla.com,149.72.247.52,false
o2.ptr556.tesla.com,149.72.134.64,false
o3.ptr1444.tesla.com,149.72.152.236,false
o4.ptr1867.tesla.com,149.72.163.58,false
o5.ptr8466.tesla.com,149.72.172.170,false
o6.ptr9437.tesla.com,168.245.123.10,false
o7.ptr6980.tesla.com,149.72.144.42,false
onboard.tesla.com,23.52.180.57,false
origin-apps.tesla.com,209.133.79.43,false
origin-auth.tesla.com,205.234.27.214,false
origin-bolt.tesla.com,62.67.197.138,false
origin-courses.tesla.com,199.120.51.109,false
origin-edr.tesla.com,199.120.49.153,false
origin-ehs-stg.tesla.com,199.120.49.154,false
origin-ehs.tesla.com,8.45.124.131,false
origin-einvoicing.tesla.com,199.120.51.109,false
origin-financialgateway-stg.tesla.com,62.67.197.142,false
origin-financialgateway.tesla.com,62.67.197.141,false
origin-finplat-prd.tesla.com,62.67.197.141,false
origin-finplat-stg.tesla.com,62.67.197.142,false
origin-grid.tesla.com,62.67.197.138,false
origin-inside.tesla.com,199.120.51.194,false
origin-installations-ext-api.tesla.com,62.67.197.138,false
origin-mfa.tesla.com,62.67.197.147,false
origin-mobile.tesla.com,209.133.79.82,false
origin-ownership.tesla.com,199.43.255.68,false
origin-profile.tesla.com,199.120.51.194,false
origin-profileapi.tesla.com,199.120.51.194,false
origin-ranger-api.tesla.com,199.120.51.203,false
origin-slingsdlc.tesla.com,209.133.79.98,false
origin-sspr.tesla.com,199.66.11.36,false
origin-tcc-gw-stg.tesla.com,62.67.197.152,false
origin-tcc-gw.tesla.com,199.120.51.203,false
origin-warp-stg.tesla.com,199.120.49.154,false
origin-warp.tesla.com,199.120.51.194,false
origin-www-auth.tesla.com,205.234.27.214,false
origin-www.tesla.com,199.66.11.55,false
ownerapi-alpha.prd.vn.cloud.tesla.com,66.17.10.10,false
ownerapi-api.eng.euw1.vn.cloud.tesla.com,52.211.120.0,false
ownerapi-api.eng.usw.vn.cloud.tesla.com,66.17.10.10,false
ownerapi-api.prd.usw.vn.cloud.tesla.com,66.17.10.76,false
ownership.tesla.com,23.52.180.57,false
pages.email.tesla.com,136.147.129.25,false
pages.emails.tesla.com,13.111.18.25,false
partnerleadsharing.tesla.com,199.120.51.199,false
